Sector,Local.authority,year,leave_join,Homes_or_places,value
For-profit,WALSALL,2018,Net change,Children's homes,3.0
For-profit,WALSALL,2018,Net change,Places,12.0
For-profit,WALSALL,2018,Entries,Children's homes,3.0
For-profit,WALSALL,2018,Entries,Places,12.0
For-profit,WALSALL,2020,Net change,Places,-3.0
Local Authority,WALSALL,2019,Net change,Children's homes,-3.0
For-profit,WALSALL,2020,Net change,Children's homes,-2.0
For-profit,WALSALL,2020,Exits,Places,3.0
Local Authority,WALSALL,2019,Net change,Places,-13.0
For-profit,WALSALL,2020,Exits,Children's homes,2.0
Local Authority,WALSALL,2019,Exits,Places,13.0
Local Authority,WALSALL,2019,Exits,Children's homes,3.0
Third Sector,WALSALL,2019,Net change,Children's homes,1.0
Local Authority,WALSALL,2021,Net change,Places,-4.0
For-profit,WALSALL,2021,Net change,Places,-4.0
For-profit,WALSALL,2017,Net change,Places,12.0
For-profit,WALSALL,2017,Net change,Children's homes,1.0
Local Authority,WALSALL,2021,Net change,Children's homes,-2.0
For-profit,WALSALL,2021,Net change,Children's homes,-3.0
For-profit,WALSALL,2017,Entries,Places,16.0
For-profit,WALSALL,2014,Exits,Children's homes,1.0
For-profit,WALSALL,2022,Exits,Children's homes,1.0
For-profit,WALSALL,2017,Exits,Places,4.0
For-profit,WALSALL,2022,Net change,Places,7.0
For-profit,WALSALL,2014,Exits,Places,0.0
Local Authority,WALSALL,2021,Exits,Places,4.0
For-profit,WALSALL,2022,Net change,Children's homes,2.0
For-profit,WALSALL,2021,Exits,Places,11.0
For-profit,WALSALL,2017,Exits,Children's homes,2.0
Local Authority,WALSALL,2021,Exits,Children's homes,2.0
For-profit,WALSALL,2017,Entries,Children's homes,3.0
For-profit,WALSALL,2016,Entries,Children's homes,1.0
For-profit,WALSALL,2021,Exits,Children's homes,5.0
For-profit,WALSALL,2022,Entries,Children's homes,3.0
For-profit,WALSALL,2021,Entries,Places,7.0
For-profit,WALSALL,2021,Entries,Children's homes,2.0
For-profit,WALTHAM FOREST,2020,Exits,Places,9.0
For-profit,WALTHAM FOREST,2016,Exits,Places,9.0
For-profit,WALTHAM FOREST,2017,Net change,Children's homes,2.0
For-profit,WALTHAM FOREST,2019,Exits,Children's homes,1.0
For-profit,WALTHAM FOREST,2020,Net change,Children's homes,-3.0
Local Authority,WALTHAM FOREST,2020,Net change,Children's homes,-1.0
Local Authority,WALTHAM FOREST,2020,Net change,Places,0.0
For-profit,WALTHAM FOREST,2017,Entries,Places,9.0
Local Authority,WALTHAM FOREST,2020,Exits,Children's homes,2.0
For-profit,WALTHAM FOREST,2019,Net change,Places,-3.0
For-profit,WALTHAM FOREST,2019,Net change,Children's homes,-1.0
For-profit,WALTHAM FOREST,2020,Exits,Children's homes,4.0
For-profit,WALTHAM FOREST,2019,Exits,Places,3.0
For-profit,WALTHAM FOREST,2017,Net change,Places,9.0
For-profit,WALTHAM FOREST,2020,Entries,Children's homes,1.0
Local Authority,WALTHAM FOREST,2020,Entries,Children's homes,1.0
For-profit,WALTHAM FOREST,2020,Net change,Places,-6.0
For-profit,WALTHAM FOREST,2020,Entries,Places,3.0
For-profit,WALTHAM FOREST,2017,Entries,Children's homes,2.0
Local Authority,WALTHAM FOREST,2020,Exits,Places,8.0
For-profit,WALTHAM FOREST,2016,Exits,Children's homes,4.0
Local Authority,WALTHAM FOREST,2020,Entries,Places,8.0
Third Sector,WANDSWORTH,2015,Exits,Children's homes,1.0
Third Sector,WANDSWORTH,2018,Net change,Places,9.0
Third Sector,WANDSWORTH,2018,Net change,Children's homes,1.0
Local Authority,WANDSWORTH,2014,Exits,Places,0.0
Third Sector,WANDSWORTH,2015,Exits,Places,0.0
Third Sector,WANDSWORTH,2018,Entries,Children's homes,1.0
Third Sector,WANDSWORTH,2018,Entries,Places,9.0
Local Authority,WANDSWORTH,2014,Exits,Children's homes,1.0
For-profit,WARRINGTON,2016,Entries,Places,2.0
Third Sector,WARRINGTON,2020,Exits,Places,8.0
For-profit,WARRINGTON,2022,Entries,Places,9.0
Third Sector,WARRINGTON,2020,Exits,Children's homes,2.0
Local Authority,WARRINGTON,2021,Entries,Places,2.0
For-profit,WARRINGTON,2015,Exits,Children's homes,2.0
For-profit,WARRINGTON,2022,Net change,Children's homes,4.0
For-profit,WARRINGTON,2014,Exits,Places,0.0
Local Authority,WARRINGTON,2019,Exits,Places,2.0
For-profit,WARRINGTON,2023,Net change,Children's homes,1.0
Local Authority,WARRINGTON,2021,Exits,Places,2.0
For-profit,WARRINGTON,2020,Entries,Places,13.0
Local Authority,WARRINGTON,2021,Entries,Children's homes,1.0
For-profit,WARRINGTON,2023,Entries,Places,4.0
Third Sector,WARRINGTON,2016,Entries,Places,6.0
Local Authority,WARRINGTON,2019,Exits,Children's homes,2.0
For-profit,WARRINGTON,2022,Net change,Places,9.0
For-profit,WARRINGTON,2019,Entries,Children's homes,4.0
For-profit,WARRINGTON,2016,Exits,Places,4.0
For-profit,WARRINGTON,2022,Entries,Children's homes,4.0
For-profit,WARRINGTON,2016,Exits,Children's homes,2.0
For-profit,WARRINGTON,2021,Entries,Places,5.0
Third Sector,WARRINGTON,2016,Entries,Children's homes,1.0
Local Authority,WARRINGTON,2021,Exits,Children's homes,2.0
For-profit,WARRINGTON,2019,Entries,Places,12.0
For-profit,WARRINGTON,2020,Entries,Children's homes,3.0
For-profit,WARRINGTON,2023,Net change,Places,4.0
For-profit,WARRINGTON,2021,Entries,Children's homes,3.0
For-profit,WARRINGTON,2016,Entries,Children's homes,1.0
Local Authority,WARRINGTON,2020,Exits,Children's homes,2.0
For-profit,WARRINGTON,2023,Entries,Children's homes,1.0
For-profit,WARRINGTON,2015,Exits,Places,3.0
Local Authority,WARRINGTON,2019,Net change,Children's homes,-2.0
Third Sector,WARRINGTON,2020,Net change,Places,-8.0
Local Authority,WARRINGTON,2019,Net change,Places,-2.0
Local Authority,WARRINGTON,2020,Exits,Places,2.0
For-profit,WARRINGTON,2019,Net change,Children's homes,4.0
Local Authority,WARRINGTON,2021,Net change,Places,0.0
For-profit,WARRINGTON,2014,Exits,Children's homes,1.0
Local Authority,WARRINGTON,2020,Net change,Places,-2.0
For-profit,WARRINGTON,2020,Net change,Places,13.0
Local Authority,WARRINGTON,2020,Net change,Children's homes,-2.0
For-profit,WARRINGTON,2021,Net change,Places,5.0
Local Authority,WARRINGTON,2021,Net change,Children's homes,-1.0
For-profit,WARRINGTON,2021,Net change,Children's homes,3.0
For-profit,WARRINGTON,2019,Net change,Places,12.0
Third Sector,WARRINGTON,2020,Net change,Children's homes,-2.0
For-profit,WARRINGTON,2020,Net change,Children's homes,3.0
For-profit,WARWICKSHIRE,2022,Entries,Children's homes,3.0
For-profit,WARWICKSHIRE,2018,Entries,Children's homes,1.0
For-profit,WARWICKSHIRE,2017,Entries,Places,4.0
Third Sector,WARWICKSHIRE,2015,Exits,Places,0.0
For-profit,WARWICKSHIRE,2019,Entries,Children's homes,2.0
For-profit,WARWICKSHIRE,2021,Exits,Places,4.0
For-profit,WARWICKSHIRE,2020,Entries,Children's homes,2.0
For-profit,WARWICKSHIRE,2019,Entries,Places,11.0
For-profit,WARWICKSHIRE,2023,Net change,Children's homes,1.0
For-profit,WARWICKSHIRE,2021,Net change,Children's homes,1.0
For-profit,WARWICKSHIRE,2018,Net change,Places,7.0
Third Sector,WARWICKSHIRE,2018,Net change,Children's homes,-1.0
For-profit,WARWICKSHIRE,2018,Net change,Children's homes,1.0
Local Authority,WARWICKSHIRE,2023,Net change,Children's homes,1.0
Local Authority,WARWICKSHIRE,2023,Entries,Children's homes,1.0
For-profit,WARWICKSHIRE,2018,Entries,Places,7.0
For-profit,WARWICKSHIRE,2021,Net change,Places,0.0
Third Sector,WARWICKSHIRE,2018,Net change,Places,-30.0
For-profit,WARWICKSHIRE,2022,Entries,Places,16.0
For-profit,WARWICKSHIRE,2021,Exits,Children's homes,1.0
For-profit,WARWICKSHIRE,2023,Net change,Places,6.0
For-profit,WARWICKSHIRE,2015,Exits,Places,0.0
For-profit,WARWICKSHIRE,2019,Net change,Places,11.0
Third Sector,WARWICKSHIRE,2018,Exits,Children's homes,1.0
For-profit,WARWICKSHIRE,2020,Net change,Children's homes,1.0
Third Sector,WARWICKSHIRE,2018,Exits,Places,30.0
For-profit,WARWICKSHIRE,2020,Exits,Children's homes,1.0
For-profit,WARWICKSHIRE,2023,Entries,Children's homes,1.0
For-profit,WARWICKSHIRE,2017,Net change,Children's homes,1.0
For-profit,WARWICKSHIRE,2019,Net change,Children's homes,2.0
For-profit,WARWICKSHIRE,2020,Net change,Places,5.0
For-profit,WARWICKSHIRE,2021,Entries,Children's homes,2.0
Local Authority,WARWICKSHIRE,2023,Net change,Places,4.0
For-profit,WARWICKSHIRE,2017,Entries,Children's homes,1.0
For-profit,WARWICKSHIRE,2015,Exits,Children's homes,1.0
For-profit,WARWICKSHIRE,2020,Exits,Places,7.0
For-profit,WARWICKSHIRE,2022,Net change,Places,16.0
For-profit,WARWICKSHIRE,2020,Entries,Places,12.0
Local Authority,WARWICKSHIRE,2023,Entries,Places,4.0
Third Sector,WARWICKSHIRE,2015,Exits,Children's homes,1.0
For-profit,WARWICKSHIRE,2021,Entries,Places,4.0
For-profit,WARWICKSHIRE,2022,Net change,Children's homes,3.0
For-profit,WARWICKSHIRE,2017,Net change,Places,4.0
For-profit,WARWICKSHIRE,2023,Entries,Places,6.0
For-profit,WEST BERKSHIRE,2016,Exits,Children's homes,2.0
For-profit,WEST BERKSHIRE,2016,Exits,Places,2.0
For-profit,WEST BERKSHIRE,2019,Entries,Children's homes,2.0
For-profit,WEST BERKSHIRE,2019,Net change,Children's homes,2.0
For-profit,WEST BERKSHIRE,2018,Net change,Children's homes,1.0
For-profit,WEST BERKSHIRE,2018,Entries,Places,5.0
For-profit,WEST BERKSHIRE,2018,Entries,Children's homes,1.0
For-profit,WEST BERKSHIRE,2019,Net change,Places,11.0
For-profit,WEST BERKSHIRE,2018,Net change,Places,5.0
For-profit,WEST BERKSHIRE,2019,Entries,Places,11.0
For-profit,WEST NORTHAMPTONSHIRE,2023,Net change,Places,5.0
For-profit,WEST NORTHAMPTONSHIRE,2023,Net change,Children's homes,2.0
For-profit,WEST NORTHAMPTONSHIRE,2023,Entries,Children's homes,2.0
For-profit,WEST NORTHAMPTONSHIRE,2023,Entries,Places,5.0
For-profit,WEST NORTHAMPTONSHIRE,2022,Net change,Places,16.0
For-profit,WEST NORTHAMPTONSHIRE,2022,Net change,Children's homes,5.0
For-profit,WEST NORTHAMPTONSHIRE,2022,Entries,Places,16.0
For-profit,WEST NORTHAMPTONSHIRE,2022,Entries,Children's homes,5.0
For-profit,WEST SUSSEX,2019,Net change,Children's homes,-5.0
For-profit,WEST SUSSEX,2019,Net change,Places,-16.0
For-profit,WEST SUSSEX,2023,Entries,Places,5.0
For-profit,WEST SUSSEX,2017,Entries,Children's homes,3.0
For-profit,WEST SUSSEX,2016,Entries,Children's homes,2.0
For-profit,WEST SUSSEX,2023,Net change,Children's homes,-1.0
For-profit,WEST SUSSEX,2023,Net change,Places,2.0
For-profit,WEST SUSSEX,2014,Exits,Places,0.0
For-profit,WEST SUSSEX,2016,Exits,Places,8.0
For-profit,WEST SUSSEX,2021,Entries,Places,8.0
For-profit,WEST SUSSEX,2022,Net change,Places,4.0
For-profit,WEST SUSSEX,2020,Net change,Places,5.0
For-profit,WEST SUSSEX,2023,Exits,Places,3.0
For-profit,WEST SUSSEX,2020,Net change,Children's homes,1.0
For-profit,WEST SUSSEX,2016,Entries,Places,19.0
For-profit,WEST SUSSEX,2020,Entries,Children's homes,1.0
For-profit,WEST SUSSEX,2017,Exits,Places,16.0
For-profit,WEST SUSSEX,2016,Exits,Children's homes,4.0
Local Authority,WEST SUSSEX,2021,Net change,Places,6.0
For-profit,WEST SUSSEX,2017,Entries,Places,14.0
Local Authority,WEST SUSSEX,2021,Net change,Children's homes,1.0
For-profit,WEST SUSSEX,2022,Entries,Children's homes,1.0
For-profit,WEST SUSSEX,2020,Entries,Places,5.0
For-profit,WEST SUSSEX,2014,Exits,Children's homes,1.0
Local Authority,WEST SUSSEX,2018,Exits,Places,6.0
Local Authority,WEST SUSSEX,2021,Entries,Places,6.0
For-profit,WEST SUSSEX,2021,Exits,Places,7.0
For-profit,WEST SUSSEX,2017,Net change,Children's homes,-5.0
For-profit,WEST SUSSEX,2017,Net change,Places,-2.0
For-profit,WEST SUSSEX,2021,Net change,Children's homes,-1.0
For-profit,WEST SUSSEX,2023,Entries,Children's homes,1.0
Local Authority,WEST SUSSEX,2018,Net change,Children's homes,-2.0
For-profit,WEST SUSSEX,2019,Exits,Places,16.0
For-profit,WEST SUSSEX,2021,Exits,Children's homes,3.0
Local Authority,WEST SUSSEX,2018,Exits,Children's homes,2.0
For-profit,WEST SUSSEX,2023,Exits,Children's homes,2.0
For-profit,WEST SUSSEX,2022,Net change,Children's homes,1.0
For-profit,WEST SUSSEX,2021,Entries,Children's homes,2.0
For-profit,WEST SUSSEX,2019,Exits,Children's homes,5.0
For-profit,WEST SUSSEX,2022,Entries,Places,4.0
Local Authority,WEST SUSSEX,2018,Net change,Places,-6.0
For-profit,WEST SUSSEX,2021,Net change,Places,1.0
Local Authority,WEST SUSSEX,2021,Entries,Children's homes,1.0
For-profit,WEST SUSSEX,2017,Exits,Children's homes,8.0
For-profit,WIGAN,2017,Net change,Children's homes,1.0
For-profit,WIGAN,2018,Exits,Children's homes,2.0
For-profit,WIGAN,2017,Net change,Places,9.0
Local Authority,WIGAN,2016,Exits,Places,6.0
Local Authority,WIGAN,2016,Entries,Places,2.0
For-profit,WIGAN,2018,Net change,Places,3.0
For-profit,WIGAN,2017,Exits,Children's homes,1.0
For-profit,WIGAN,2016,Entries,Places,6.0
For-profit,WIGAN,2023,Entries,Places,2.0
For-profit,WIGAN,2018,Entries,Places,6.0
For-profit,WIGAN,2017,Exits,Places,2.0
For-profit,WIGAN,2017,Entries,Places,11.0
For-profit,WIGAN,2018,Exits,Places,3.0
For-profit,WIGAN,2018,Net change,Children's homes,0.0
For-profit,WIGAN,2018,Entries,Children's homes,2.0
For-profit,WIGAN,2017,Entries,Children's homes,2.0
For-profit,WIGAN,2022,Entries,Places,4.0
For-profit,WIGAN,2016,Entries,Children's homes,3.0
Local Authority,WIGAN,2016,Entries,Children's homes,1.0
For-profit,WIGAN,2020,Net change,Places,4.0
For-profit,WIGAN,2021,Net change,Places,3.0
For-profit,WIGAN,2021,Net change,Children's homes,3.0
For-profit,WIGAN,2022,Entries,Children's homes,2.0
For-profit,WIGAN,2019,Entries,Places,13.0
For-profit,WIGAN,2019,Exits,Children's homes,1.0
For-profit,WIGAN,2014,Exits,Children's homes,1.0
For-profit,WIGAN,2019,Exits,Places,2.0
For-profit,WIGAN,2021,Entries,Places,3.0
For-profit,WIGAN,2020,Exits,Places,6.0
For-profit,WIGAN,2020,Entries,Places,10.0
For-profit,WIGAN,2020,Exits,Children's homes,4.0
For-profit,WIGAN,2020,Entries,Children's homes,5.0
For-profit,WIGAN,2020,Net change,Children's homes,1.0
Local Authority,WIGAN,2016,Exits,Children's homes,2.0
For-profit,WIGAN,2023,Entries,Children's homes,1.0
For-profit,WIGAN,2019,Entries,Children's homes,5.0
For-profit,WIGAN,2023,Net change,Children's homes,1.0
For-profit,WIGAN,2019,Net change,Places,11.0
For-profit,WIGAN,2023,Net change,Places,2.0
For-profit,WIGAN,2019,Net change,Children's homes,4.0
For-profit,WIGAN,2022,Net change,Places,4.0
For-profit,WIGAN,2014,Exits,Places,0.0
For-profit,WIGAN,2021,Entries,Children's homes,3.0
For-profit,WIGAN,2022,Net change,Children's homes,2.0
Third Sector,WILTSHIRE,2017,Net change,Places,-10.0
For-profit,WILTSHIRE,2017,Net change,Places,6.0
For-profit,WILTSHIRE,2017,Net change,Children's homes,1.0
For-profit,WILTSHIRE,2015,Exits,Places,0.0
For-profit,WILTSHIRE,2020,Entries,Places,11.0
For-profit,WILTSHIRE,2016,Entries,Children's homes,2.0
For-profit,WILTSHIRE,2018,Entries,Places,3.0
For-profit,WILTSHIRE,2020,Entries,Children's homes,3.0
For-profit,WILTSHIRE,2018,Exits,Places,4.0
For-profit,WILTSHIRE,2015,Exits,Children's homes,1.0
For-profit,WILTSHIRE,2022,Exits,Children's homes,3.0
Local Authority,WILTSHIRE,2020,Entries,Places,3.0
For-profit,WILTSHIRE,2022,Exits,Places,4.0
For-profit,WILTSHIRE,2017,Entries,Places,8.0
For-profit,WILTSHIRE,2017,Entries,Children's homes,2.0
Third Sector,WILTSHIRE,2017,Exits,Places,10.0
For-profit,WILTSHIRE,2017,Exits,Places,2.0
For-profit,WILTSHIRE,2016,Exits,Children's homes,6.0
For-profit,WILTSHIRE,2021,Net change,Places,-2.0
For-profit,WILTSHIRE,2017,Exits,Children's homes,1.0
For-profit,WILTSHIRE,2021,Entries,Children's homes,1.0
For-profit,WILTSHIRE,2021,Entries,Places,3.0
For-profit,WILTSHIRE,2021,Net change,Children's homes,-2.0
For-profit,WILTSHIRE,2021,Exits,Children's homes,3.0
Third Sector,WILTSHIRE,2017,Exits,Children's homes,4.0
For-profit,WILTSHIRE,2022,Net change,Children's homes,0.0
For-profit,WILTSHIRE,2022,Entries,Children's homes,3.0
For-profit,WILTSHIRE,2022,Net change,Places,9.0
For-profit,WILTSHIRE,2021,Exits,Places,5.0
Third Sector,WILTSHIRE,2017,Net change,Children's homes,-4.0
For-profit,WILTSHIRE,2020,Net change,Children's homes,3.0
For-profit,WILTSHIRE,2019,Net change,Places,-12.0
For-profit,WILTSHIRE,2020,Net change,Places,11.0
For-profit,WILTSHIRE,2019,Net change,Children's homes,-1.0
For-profit,WILTSHIRE,2016,Exits,Places,8.0
For-profit,WILTSHIRE,2018,Exits,Children's homes,4.0
Local Authority,WILTSHIRE,2020,Net change,Children's homes,1.0
For-profit,WILTSHIRE,2019,Entries,Places,6.0
For-profit,WILTSHIRE,2019,Exits,Children's homes,3.0
For-profit,WILTSHIRE,2019,Exits,Places,18.0
For-profit,WILTSHIRE,2022,Entries,Places,13.0
Local Authority,WILTSHIRE,2020,Entries,Children's homes,1.0
Local Authority,WILTSHIRE,2020,Net change,Places,3.0
For-profit,WILTSHIRE,2018,Net change,Children's homes,-3.0
For-profit,WILTSHIRE,2018,Net change,Places,-1.0
For-profit,WILTSHIRE,2019,Entries,Children's homes,2.0
For-profit,WILTSHIRE,2018,Entries,Children's homes,1.0
For-profit,WILTSHIRE,2016,Entries,Places,5.0
For-profit,WINDSOR AND MAIDENHEAD,2019,Exits,Places,4.0
For-profit,WINDSOR AND MAIDENHEAD,2019,Exits,Children's homes,2.0
For-profit,WINDSOR AND MAIDENHEAD,2019,Net change,Places,-4.0
For-profit,WINDSOR AND MAIDENHEAD,2019,Net change,Children's homes,-2.0
For-profit,WIRRAL,2022,Exits,Places,4.0
For-profit,WIRRAL,2017,Net change,Children's homes,-7.0
For-profit,WIRRAL,2017,Net change,Places,-3.0
For-profit,WIRRAL,2022,Exits,Children's homes,1.0
For-profit,WIRRAL,2021,Net change,Children's homes,1.0
For-profit,WIRRAL,2021,Entries,Places,3.0
For-profit,WIRRAL,2019,Entries,Places,5.0
For-profit,WIRRAL,2017,Exits,Children's homes,8.0
For-profit,WIRRAL,2022,Net change,Children's homes,1.0
For-profit,WIRRAL,2019,Net change,Children's homes,2.0
For-profit,WIRRAL,2016,Entries,Places,3.0
For-profit,WIRRAL,2019,Entries,Children's homes,2.0
For-profit,WIRRAL,2022,Entries,Children's homes,2.0
For-profit,WIRRAL,2022,Entries,Places,7.0
For-profit,WIRRAL,2016,Entries,Children's homes,1.0
For-profit,WIRRAL,2018,Net change,Children's homes,1.0
For-profit,WIRRAL,2020,Entries,Children's homes,3.0
For-profit,WIRRAL,2020,Entries,Places,10.0
For-profit,WIRRAL,2019,Net change,Places,5.0
For-profit,WIRRAL,2018,Net change,Places,3.0
For-profit,WIRRAL,2021,Entries,Children's homes,1.0
For-profit,WIRRAL,2018,Entries,Children's homes,1.0
For-profit,WIRRAL,2015,Exits,Children's homes,2.0
For-profit,WIRRAL,2017,Entries,Places,4.0
For-profit,WIRRAL,2020,Net change,Children's homes,3.0
For-profit,WIRRAL,2020,Net change,Places,10.0
For-profit,WIRRAL,2022,Net change,Places,3.0
For-profit,WIRRAL,2017,Entries,Children's homes,1.0
For-profit,WIRRAL,2016,Exits,Children's homes,4.0
For-profit,WIRRAL,2015,Exits,Places,0.0
For-profit,WIRRAL,2021,Net change,Places,3.0
For-profit,WIRRAL,2018,Entries,Places,3.0
For-profit,WIRRAL,2017,Exits,Places,7.0
For-profit,WIRRAL,2016,Exits,Places,6.0
For-profit,WOKINGHAM,2022,Net change,Children's homes,-4.0
For-profit,WOKINGHAM,2022,Net change,Places,-6.0
For-profit,WOKINGHAM,2022,Exits,Places,10.0
For-profit,WOKINGHAM,2022,Entries,Places,4.0
For-profit,WOKINGHAM,2022,Exits,Children's homes,5.0
For-profit,WOKINGHAM,2022,Entries,Children's homes,1.0
For-profit,WOLVERHAMPTON,2019,Net change,Children's homes,0.0
Local Authority,WOLVERHAMPTON,2019,Net change,Children's homes,1.0
Local Authority,WOLVERHAMPTON,2019,Entries,Places,4.0
For-profit,WOLVERHAMPTON,2022,Exits,Children's homes,4.0
For-profit,WOLVERHAMPTON,2019,Net change,Places,4.0
For-profit,WOLVERHAMPTON,2021,Entries,Children's homes,8.0
For-profit,WOLVERHAMPTON,2023,Net change,Places,4.0
Local Authority,WOLVERHAMPTON,2019,Net change,Places,4.0
For-profit,WOLVERHAMPTON,2016,Exits,Places,4.0
Local Authority,WOLVERHAMPTON,2014,Exits,Places,0.0
For-profit,WOLVERHAMPTON,2022,Net change,Places,4.0
For-profit,WOLVERHAMPTON,2023,Entries,Places,4.0
For-profit,WOLVERHAMPTON,2022,Net change,Children's homes,0.0
For-profit,WOLVERHAMPTON,2016,Exits,Children's homes,2.0
For-profit,WOLVERHAMPTON,2023,Net change,Children's homes,2.0
Local Authority,WOLVERHAMPTON,2014,Exits,Children's homes,3.0
For-profit,WOLVERHAMPTON,2021,Exits,Children's homes,3.0
For-profit,WOLVERHAMPTON,2018,Entries,Places,29.0
For-profit,WOLVERHAMPTON,2018,Exits,Places,7.0
For-profit,WOLVERHAMPTON,2020,Net change,Children's homes,5.0
For-profit,WOLVERHAMPTON,2020,Net change,Places,17.0
For-profit,WOLVERHAMPTON,2022,Entries,Places,14.0
For-profit,WOLVERHAMPTON,2015,Exits,Places,3.0
For-profit,WOLVERHAMPTON,2022,Exits,Places,10.0
For-profit,WOLVERHAMPTON,2018,Net change,Places,22.0
For-profit,WOLVERHAMPTON,2018,Net change,Children's homes,5.0
